section,cluster,count,section_total,proportion
Courses with Course Subject: Behavior Science (BEHAVSCI),3,2,12,0.16666666666666666
Courses with Course Subject: Behavior Science (BEHAVSCI),5,6,12,0.5
Courses with Course Subject: Behavior Science (BEHAVSCI),6,2,12,0.16666666666666666
Courses with Course Subject: Biology (BIOL),0,1,34,0.029411764705882353
Courses with Course Subject: Biology (BIOL),3,1,34,0.029411764705882353
Courses with Course Subject: Biology (BIOL),5,1,34,0.029411764705882353
Courses with Course Subject: Biology (BIOL),6,30,34,0.8823529411764706
Courses with Course Subject: Biology (BIOL),7,1,34,0.029411764705882353
Courses with Course Subject: Chemistry (CHEM),6,13,15,0.8666666666666667
Courses with Course Subject: Chemistry (CHEM),7,2,15,0.13333333333333333
Courses with Course Subject: Chinese (CHINESE),1,20,32,0.625
Courses with Course Subject: Chinese (CHINESE),2,1,32,0.03125
Courses with Course Subject: Chinese (CHINESE),4,11,32,0.34375
Courses with Course Subject: Chinese Society and Culture (CHSC),4,6,9,0.6666666666666666
Courses with Course Subject: Chinese Society and Culture (CHSC),5,1,9,0.1111111111111111
Courses with Course Subject: Chinese Society and Culture (CHSC),7,2,9,0.2222222222222222
Courses with Course Subject: Computer Design (COMPDSGN),3,1,1,1.0
Courses with Course Subject: Computer Science (COMPSCI),3,18,20,0.9
Courses with Course Subject: Computer Science (COMPSCI),6,1,20,0.05
Courses with Course Subject: Computer Science (COMPSCI),7,1,20,0.05
Courses with Course Subject: Cultural Anthropology (CULANTH),0,16,24,0.6666666666666666
Courses with Course Subject: Cultural Anthropology (CULANTH),4,3,24,0.125
Courses with Course Subject: Cultural Anthropology (CULANTH),5,5,24,0.20833333333333334
Courses with Course Subject: Cultures and Movements (CULMOVE),0,7,14,0.5
Courses with Course Subject: Cultures and Movements (CULMOVE),1,2,14,0.14285714285714285
Courses with Course Subject: Cultures and Movements (CULMOVE),4,4,14,0.2857142857142857
Courses with Course Subject: Cultures and Movements (CULMOVE),5,1,14,0.07142857142857142
Courses with Course Subject: Economics (ECON),3,2,28,0.07142857142857142
Courses with Course Subject: Economics (ECON),5,24,28,0.8571428571428571
Courses with Course Subject: Economics (ECON),7,2,28,0.07142857142857142
Courses with Course Subject: English (ENGLISH),7,2,2,1.0
Courses with Course Subject: English for Academic Purposes (EAP),1,8,8,1.0
Courses with Course Subject: Environment (ENVIR),4,1,19,0.05263157894736842
Courses with Course Subject: Environment (ENVIR),5,8,19,0.42105263157894735
Courses with Course Subject: Environment (ENVIR),6,9,19,0.47368421052631576
Courses with Course Subject: Environment (ENVIR),7,1,19,0.05263157894736842
Courses with Course Subject: Ethics and Leadership (ETHLDR),0,1,13,0.07692307692307693
Courses with Course Subject: Ethics and Leadership (ETHLDR),1,2,13,0.15384615384615385
Courses with Course Subject: Ethics and Leadership (ETHLDR),4,1,13,0.07692307692307693
Courses with Course Subject: Ethics and Leadership (ETHLDR),5,9,13,0.6923076923076923
Courses with Course Subject: French (FRENCH),1,1,2,0.5
Courses with Course Subject: French (FRENCH),7,1,2,0.5
Courses with Course Subject: German (GERMAN),1,1,2,0.5
Courses with Course Subject: German (GERMAN),7,1,2,0.5
Courses with Course Subject: Global Challenges (GLOCHALL),1,1,1,1.0
Courses with Course Subject: Global China Studies (GCHINA),4,9,9,1.0
Courses with Course Subject: Global Cultural Studies (GCULS),0,11,19,0.5789473684210527
Courses with Course Subject: Global Cultural Studies (GCULS),1,3,19,0.15789473684210525
Courses with Course Subject: Global Cultural Studies (GCULS),4,5,19,0.2631578947368421
Courses with Course Subject: Global Health (GLHLTH),0,3,16,0.1875
Courses with Course Subject: Global Health (GLHLTH),1,1,16,0.0625
Courses with Course Subject: Global Health (GLHLTH),5,9,16,0.5625
Courses with Course Subject: Global Health (GLHLTH),6,3,16,0.1875
Courses with Course Subject: History (HIST),0,26,73,0.3561643835616438
Courses with Course Subject: History (HIST),2,1,73,0.0136986301369863
Courses with Course Subject: History (HIST),4,40,73,0.547945205479452
Courses with Course Subject: History (HIST),5,2,73,0.0273972602739726
Courses with Course Subject: History (HIST),7,4,73,0.0547945205479452
Courses with Course Subject: Independent Study (INDSTU),1,1,1,1.0
Courses with Course Subject: Information Science (INFOSCI),0,1,7,0.14285714285714285
Courses with Course Subject: Information Science (INFOSCI),3,6,7,0.8571428571428571
Courses with Course Subject: Institutions and Governance (INSTGOV),1,1,1,1.0
Courses with Course Subject: Integrated Science (INTGSCI),6,2,2,1.0
Courses with Course Subject: Italian (ITALIAN),1,1,2,0.5
Courses with Course Subject: Italian (ITALIAN),7,1,2,0.5
Courses with Course Subject: Japanese (JAPANESE),1,3,4,0.75
Courses with Course Subject: Japanese (JAPANESE),7,1,4,0.25
Courses with Course Subject: Latin (LATIN),7,1,1,1.0
Courses with Course Subject: Literature (LIT),0,30,37,0.8108108108108109
Courses with Course Subject: Literature (LIT),3,1,37,0.02702702702702703
Courses with Course Subject: Literature (LIT),4,6,37,0.16216216216216217
Courses with Course Subject: Material Science (MATSCI),3,3,11,0.2727272727272727
Courses with Course Subject: Material Science (MATSCI),6,8,11,0.7272727272727273
Courses with Course Subject: Mathematics (MATH),3,22,27,0.8148148148148148
Courses with Course Subject: Mathematics (MATH),5,1,27,0.037037037037037035
Courses with Course Subject: Mathematics (MATH),6,3,27,0.1111111111111111
Courses with Course Subject: Mathematics (MATH),7,1,27,0.037037037037037035
Courses with Course Subject: Media and Arts (MEDIART),0,28,43,0.6511627906976745
Courses with Course Subject: Media and Arts (MEDIART),1,10,43,0.23255813953488372
Courses with Course Subject: Media and Arts (MEDIART),2,1,43,0.023255813953488372
Courses with Course Subject: Media and Arts (MEDIART),3,2,43,0.046511627906976744
Courses with Course Subject: Media and Arts (MEDIART),4,2,43,0.046511627906976744
Courses with Course Subject: Military Science (MILITSCI),1,2,2,1.0
Courses with Course Subject: Music (MUSIC),1,1,3,0.3333333333333333
Courses with Course Subject: Music (MUSIC),2,1,3,0.3333333333333333
Courses with Course Subject: Music (MUSIC),7,1,3,0.3333333333333333
Courses with Course Subject: Neuroscience (NEUROSCI),1,1,4,0.25
Courses with Course Subject: Neuroscience (NEUROSCI),6,3,4,0.75
Courses with Course Subject: Philosophy (PHIL),0,12,19,0.631578947368421
Courses with Course Subject: Philosophy (PHIL),1,1,19,0.05263157894736842
Courses with Course Subject: Philosophy (PHIL),3,2,19,0.10526315789473684
Courses with Course Subject: Philosophy (PHIL),4,2,19,0.10526315789473684
Courses with Course Subject: Philosophy (PHIL),5,2,19,0.10526315789473684
Courses with Course Subject: Physical Education (PHYSEDU),1,26,28,0.9285714285714286
Courses with Course Subject: Physical Education (PHYSEDU),6,1,28,0.03571428571428571
Courses with Course Subject: Physical Education (PHYSEDU),7,1,28,0.03571428571428571
Courses with Course Subject: Physics (PHYS),3,7,22,0.3181818181818182
Courses with Course Subject: Physics (PHYS),6,13,22,0.5909090909090909
Courses with Course Subject: Physics (PHYS),7,2,22,0.09090909090909091
Courses with Course Subject: Political Economy (POLECON),4,2,8,0.25
Courses with Course Subject: Political Economy (POLECON),5,6,8,0.75
Courses with Course Subject: Political Science (POLSCI),0,11,41,0.2682926829268293
Courses with Course Subject: Political Science (POLSCI),1,1,41,0.024390243902439025
Courses with Course Subject: Political Science (POLSCI),4,4,41,0.0975609756097561
Courses with Course Subject: Political Science (POLSCI),5,23,41,0.5609756097560976
Courses with Course Subject: Political Science (POLSCI),7,2,41,0.04878048780487805
Courses with Course Subject: Psychology (PSYCH),0,1,7,0.14285714285714285
Courses with Course Subject: Psychology (PSYCH),1,3,7,0.42857142857142855
Courses with Course Subject: Psychology (PSYCH),3,1,7,0.14285714285714285
Courses with Course Subject: Psychology (PSYCH),5,2,7,0.2857142857142857
Courses with Course Subject: Public Policy (PUBPOL),0,4,41,0.0975609756097561
Courses with Course Subject: Public Policy (PUBPOL),1,1,41,0.024390243902439025
Courses with Course Subject: Public Policy (PUBPOL),4,4,41,0.0975609756097561
Courses with Course Subject: Public Policy (PUBPOL),5,32,41,0.7804878048780488
Courses with Course Subject: Religious Studies (RELIG),0,14,16,0.875
Courses with Course Subject: Religious Studies (RELIG),4,2,16,0.125
Courses with Course Subject: Research Independent Study (RINDSTU),1,1,1,1.0
Courses with Course Subject: Social Science (SOSC),0,2,13,0.15384615384615385
Courses with Course Subject: Social Science (SOSC),1,2,13,0.15384615384615385
Courses with Course Subject: Social Science (SOSC),3,3,13,0.23076923076923078
Courses with Course Subject: Social Science (SOSC),4,1,13,0.07692307692307693
Courses with Course Subject: Social Science (SOSC),5,5,13,0.38461538461538464
Courses with Course Subject: Sociology (SOCIOL),0,10,15,0.6666666666666666
Courses with Course Subject: Sociology (SOCIOL),4,1,15,0.06666666666666667
Courses with Course Subject: Sociology (SOCIOL),5,4,15,0.26666666666666666
Courses with Course Subject: Spanish (SPANISH),7,1,1,1.0
Courses with Course Subject: Statistics (STATS),1,1,18,0.05555555555555555
Courses with Course Subject: Statistics (STATS),3,12,18,0.6666666666666666
Courses with Course Subject: Statistics (STATS),5,3,18,0.16666666666666666
Courses with Course Subject: Statistics (STATS),7,2,18,0.1111111111111111
Courses with Course Subject: Third Language (TLANG),1,4,4,1.0
Courses with Course Subject: US Studies (USTUD),0,2,4,0.5
Courses with Course Subject: US Studies (USTUD),1,2,4,0.5
Courses with Course Subject: Written and Oral Communication (WOC),0,4,13,0.3076923076923077
Courses with Course Subject: Written and Oral Communication (WOC),1,7,13,0.5384615384615384
Courses with Course Subject: Written and Oral Communication (WOC),5,1,13,0.07692307692307693
Courses with Course Subject: Written and Oral Communication (WOC),7,1,13,0.07692307692307693
Cultures and Movements / Cultural Anthropology,0,1,4,0.25
Cultures and Movements / Cultural Anthropology,4,2,4,0.5
Cultures and Movements / Cultural Anthropology,5,1,4,0.25
Cultures and Movements / Sociology,0,1,3,0.3333333333333333
Cultures and Movements / Sociology,4,2,3,0.6666666666666666
Cultures and Movements / World History,3,1,8,0.125
Cultures and Movements / World History,4,5,8,0.625
Cultures and Movements / World History,5,1,8,0.125
Cultures and Movements / World History,7,1,8,0.125
"Cultures and Movements with tracks in Cultural Anthropology, Sociology and World History",0,2,2,1.0
Data Science,3,2,2,1.0
Declaration of Major,2,2,2,1.0
Degree Requirements,1,11,37,0.2972972972972973
Degree Requirements,2,12,37,0.32432432432432434
Degree Requirements,3,4,37,0.10810810810810811
Degree Requirements,7,10,37,0.2702702702702703
Dual Degrees,2,1,1,1.0
Duke Kunshan University Community Standard,2,1,1,1.0
Education Records,2,3,4,0.75
Education Records,7,1,4,0.25
Eligibility for Courses,2,1,4,0.25
Eligibility for Courses,7,3,4,0.75
Entrance Credit and Placement,1,3,17,0.17647058823529413
Entrance Credit and Placement,2,10,17,0.5882352941176471
Entrance Credit and Placement,7,4,17,0.23529411764705882
Environmental Science / Biogeochemistry,5,1,2,0.5
Environmental Science / Biogeochemistry,6,1,2,0.5
Environmental Science / Biology,5,1,3,0.3333333333333333
Environmental Science / Biology,6,2,3,0.6666666666666666
Environmental Science / Chemistry,3,1,3,0.3333333333333333
Environmental Science / Chemistry,5,1,3,0.3333333333333333
Environmental Science / Chemistry,6,1,3,0.3333333333333333
Environmental Science / Public Policy,3,1,4,0.25
Environmental Science / Public Policy,5,2,4,0.5
Environmental Science / Public Policy,6,1,4,0.25
"Environmental Science with tracks in Biogeochemistry, Biology, Chemistry, and Public Policy",3,1,7,0.14285714285714285
"Environmental Science with tracks in Biogeochemistry, Biology, Chemistry, and Public Policy",5,2,7,0.2857142857142857
"Environmental Science with tracks in Biogeochemistry, Biology, Chemistry, and Public Policy",6,4,7,0.5714285714285714
Estimated Expenses,2,1,20,0.05
Estimated Expenses,4,1,20,0.05
Estimated Expenses,7,18,20,0.9
Ethics and Leadership / Philosophy,5,1,1,1.0
Ethics and Leadership / Public Policy,5,2,2,1.0
"Ethics and Leadership with tracks in Philosophy, Public Policy, Religious Studies",0,1,3,0.3333333333333333
"Ethics and Leadership with tracks in Philosophy, Public Policy, Religious Studies",5,2,3,0.6666666666666666
Exclusion of Disruptive Students from a Course,1,1,2,0.5
Exclusion of Disruptive Students from a Course,7,1,2,0.5
Final Examinations,7,3,3,1.0
Global China Studies / Chinese History,4,8,10,0.8
Global China Studies / Chinese History,7,2,10,0.2
Global China Studies / Economics,4,1,3,0.3333333333333333
Global China Studies / Economics,5,2,3,0.6666666666666666
Global China Studies / Philosophy,0,1,1,1.0
Global China Studies / Political Science,4,1,2,0.5
Global China Studies / Political Science,5,1,2,0.5
"Global China Studies with tracks in Chinese History, Economics, Philosophy, Political Science and Religious Studies",4,3,3,1.0
Global Cultural Studies / World History,5,1,1,1.0
Global Cultural Studies / World Literature,0,3,6,0.5
Global Cultural Studies / World Literature,4,2,6,0.3333333333333333
Global Cultural Studies / World Literature,7,1,6,0.16666666666666666
Global Cultural Studies with tracks in World History and World Literature,0,2,2,1.0
Global Health / Biology,6,2,2,1.0
Global Health / Public Policy,5,2,2,1.0
Global Health with Tracks in Biology and Public Policy,4,1,3,0.3333333333333333
Global Health with Tracks in Biology and Public Policy,5,2,3,0.6666666666666666
Grade Review Procedure,2,1,7,0.14285714285714285
Grade Review Procedure,7,6,7,0.8571428571428571
Grading and Grade Requirements,2,6,22,0.2727272727272727
Grading and Grade Requirements,6,1,22,0.045454545454545456
Grading and Grade Requirements,7,15,22,0.6818181818181818
Graduation and Commencement,7,1,1,1.0
Host Family Program,2,1,1,1.0
Incomplete Coursework and Excused Absence from Final Exam,7,4,4,1.0
Independent Studies,1,2,2,1.0
Institutions and Governance / Economics,3,1,4,0.25
Institutions and Governance / Economics,4,1,4,0.25
Institutions and Governance / Economics,5,2,4,0.5
Institutions and Governance / Political Science,5,4,4,1.0
Institutions and Governance / Public Policy,5,1,1,1.0
"Institutions and Governance with tracks in Economics, Political Science, and Public Policy",5,2,2,1.0
International Student Services,1,1,2,0.5
International Student Services,2,1,2,0.5
Key Components,1,2,8,0.25
Key Components,2,3,8,0.375
Key Components,7,3,8,0.375
Leadership Development,1,2,2,1.0
Materials Science / Chemistry,3,1,1,1.0
Materials Science with tracks in Chemistry and Physics,3,1,2,0.5
Materials Science with tracks in Chemistry and Physics,6,1,2,0.5
Media and Arts / Art History,7,2,2,1.0
Media and Arts / Creative Practice,0,1,5,0.2
Media and Arts / Creative Practice,3,3,5,0.6
Media and Arts / Creative Practice,4,1,5,0.2
Media and Arts with tracks in Art History and Creative Practice,0,3,3,1.0
Mission Statement,2,1,1,1.0
"Molecular Bioscience with Tracks in Biogeochemistry, Biophysics, Cell and Molecular Biology, Genetics and Genomics",6,8,8,1.0
Notification and Responses,7,1,1,1.0
Notification of Intention to Graduate,2,1,1,1.0
Office of Global Education and Study Away,1,1,20,0.05
Office of Global Education and Study Away,2,13,20,0.65
Office of Global Education and Study Away,7,6,20,0.3
Overview,1,3,5,0.6
Overview,2,2,5,0.4
Part 11: Academic Calendar 2021-22,7,11,11,1.0
Part 12: Useful Contacts,2,1,1,1.0
Part 1: General Information,1,1,3,0.3333333333333333
Part 1: General Information,2,1,3,0.3333333333333333
Part 1: General Information,5,1,3,0.3333333333333333
Part 7: Academic Advising and Support,1,1,1,1.0
Partners,0,1,8,0.125
Partners,2,6,8,0.75
Partners,4,1,8,0.125
Political Economy / Political Science,5,1,1,1.0
Political Economy / Public Policy,5,2,2,1.0
"Political Economy with tracks in Economics, Political Science, and Public Policy",0,1,2,0.5
"Political Economy with tracks in Economics, Political Science, and Public Policy",5,1,2,0.5
Principles of Selection,2,2,2,1.0
Procedure for Resolution of Students' Academic Concerns,1,1,5,0.2
Procedure for Resolution of Students' Academic Concerns,2,1,5,0.2
Procedure for Resolution of Students' Academic Concerns,7,3,5,0.6
Progress toward Degree,2,1,7,0.14285714285714285
Progress toward Degree,7,6,7,0.8571428571428571
Refund,7,12,12,1.0
Registration,2,1,7,0.14285714285714285
Registration,7,6,7,0.8571428571428571
Religious Holidays,1,1,2,0.5
Religious Holidays,2,1,2,0.5
Requirements for All Majors,7,5,5,1.0
Residence Life,1,3,3,1.0
Scholarships and Financial Aid,2,3,5,0.6
Scholarships and Financial Aid,7,2,5,0.4
Seven Principles of Duke Kunshan University Academic Advising,1,2,2,1.0
Statement on Diversity and Inclusion,0,1,2,0.5
Statement on Diversity and Inclusion,2,1,2,0.5
Student Affairs,1,2,2,1.0
Student Affairs Conceptual Framework,2,1,2,0.5
Student Affairs Conceptual Framework,5,1,2,0.5
Student Clubs and Organizations,2,1,1,1.0
Student Conduct,1,1,3,0.3333333333333333
Student Conduct,2,1,3,0.3333333333333333
Student Conduct,7,1,3,0.3333333333333333
Student Research Opportunities,2,2,2,1.0
Submission of Term Paper,7,1,1,1.0
The Provision of Academic Information to Parents and Guardians,7,1,1,1.0
Time Limit for Completing Undergraduate Degree,2,1,1,1.0
Transfer of Work Taken Elsewhere,2,10,10,1.0
Tuition and Fees,7,2,2,1.0
Two-Credit Writing Courses,1,1,1,1.0
US Studies / American History,7,2,2,1.0
US Studies / American Literature,7,1,1,1.0
US Studies / Political Science,0,1,1,1.0
"US Studies with tracks in American History, American Literature, Political Science, and Public Policy",0,1,2,0.5
"US Studies with tracks in American History, American Literature, Political Science, and Public Policy",4,1,2,0.5
Undergraduate Course Load,2,1,21,0.047619047619047616
Undergraduate Course Load,7,20,21,0.9523809523809523
Who We Are,2,5,6,0.8333333333333334
Who We Are,7,1,6,0.16666666666666666
of 2022-2024,7,13,13,1.0
