title,price,page
This One Summer,19.49,3
Thirst,17.27,3
The Torch Is Passed: A Harding Family Story,19.09,3
The Secret of Dreadwillow Carse,56.13,3
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,3
The Past Never Ends,56.5,3
The Natural History of Us (The Fine Art of Pretending #2),45.22,3
The Nameless City (The Nameless City #1),38.16,4
The Murder That Never Was (Forensic Instincts #5),54.11,4
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,4
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,4
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,4
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,4
The Death of Humanity: and the Case for Life,58.11,4
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,4
The Art Forger,40.76,4
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,4
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,4
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4
Soul Reader,39.58,4
Security,39.25,4
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,4
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,4
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,4
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,4
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,5
"Pop Gun War, Volume 1: Gift",18.97,5
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,5
Patience,10.16,5
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,5
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,5
On a Midnight Clear,14.07,5
Obsidian (Lux #1),14.86,5
My Paris Kitchen: Recipes and Stories,33.37,5
Masks and Shadows,56.4,5
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,5
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,5
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,5
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,5
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,5
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,5
Join,35.67,5
In the Country We Love: My Family Divided,22.0,5
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,6
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,6
I am a Hero Omnibus Volume 1,54.63,6
How to Be Miserable: 40 Strategies You Already Use,46.03,6
Her Backup Boyfriend (The Sorensen Family #1),33.97,6
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,6
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,6
First and First (Five Boroughs #3),15.97,6
Fifty Shades Darker (Fifty Shades #2),21.96,6
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,6
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,6
Danganronpa Volume 1,51.99,6
Crown of Midnight (Throne of Glass #2),43.29,6
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,6
Camp Midnight,17.08,6
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,6
Burning,28.81,6
Bossypants,49.46,6
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,6
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,6
Algorithms to Live By: The Computer Science of Human Decisions,30.81,7
A World of Flavor: Your Gluten Free Passport,42.95,7
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,7
A Murder in Time,16.64,7
A Flight of Arrows (The Pathfinders #2),55.53,7
A Fierce and Subtle Poison,28.13,7
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,7
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,7
You Are What You Love: The Spiritual Power of Habit,21.87,7
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,7
Tuesday Nights in 1980,21.04,7
Tracing Numbers on a Train,41.6,7
Throne of Glass (Throne of Glass #1),35.07,7
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,7
Thirteen Reasons Why,52.72,7
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,7
The Wedding Dress,24.12,7
The Vacationers,42.15,7
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,7
The Stranger,17.44,7
The Shadow Hero (The Shadow Hero),33.14,8
The Secret (The Secret #1),27.37,8
The Regional Office Is Under Attack!,51.36,8
The Psychopath Test: A Journey Through the Madness Industry,36.0,8
The Project,10.65,8
The Power of Now: A Guide to Spiritual Enlightenment,43.54,8
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,8
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,8
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,8
The Mistake (Off-Campus #2),43.29,8
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,8
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,8
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,8
The Kite Runner,41.82,8
The House by the Lake,36.95,8
The Glittering Court (The Glittering Court #1),44.28,8
The Girl on the Train,55.02,8
The Genius of Birds,17.24,8
The Emerald Mystery,23.15,8
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,8
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,9
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,9
The Art of War,33.34,9
The Argonauts,10.93,9
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,9
Suddenly in Love (Lake Haven #1),55.99,9
Something More Than This,16.24,9
Soft Apocalypse,26.12,9
So You've Been Publicly Shamed,12.23,9
Shoe Dog: A Memoir by the Creator of NIKE,23.99,9
"Shobu Samurai, Project Aryoku (#3)",29.06,9
Secrets and Lace (Fatal Hearts #1),20.27,9
Scarlett Epstein Hates It Here,43.55,9
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,9
Redeeming Love,20.47,9
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,9
Poems That Make Grown Women Cry,14.19,9
"Nightingale, Sing",38.28,9
Night Sky with Exit Wounds,41.05,9
Mrs. Houdini,30.25,9
Modern Romance,28.26,10
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,10
Louisa: The Extraordinary Life of Mrs. Adams,16.85,10
Little Red,13.47,10
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,10
Large Print Heart of the Pride,19.15,10
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,10
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,10
Grumbles,22.16,10
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,10
Frostbite (Vampire Academy #2),29.99,10
Follow You Home,21.36,10
First Steps for New Christians (Print Edition),29.0,10
Finders Keepers (Bill Hodges Trilogy #2),53.53,10
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,10
Eureka Trivia 6.0,54.59,10
Drive: The Surprising Truth About What Motivates Us,34.95,10
Done Rubbed Out (Reightman & Bailey #1),37.72,10
Doing It Over (Most Likely To #1),35.61,10
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,10
Dark Notes,19.19,11
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,11
Close to You,49.46,11
Chasing Heaven: What Dying Taught Me About Living,37.8,11
Big Magic: Creative Living Beyond Fear,30.8,11
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,11
Beauty Restored (Riley Family Legacy Novellas #3),11.11,11
Batman: The Long Halloween (Batman),36.5,11
Batman: The Dark Knight Returns (Batman),15.38,11
Ayumi's Violin,15.48,11
Anonymous,46.82,11
Amy Meets the Saints and Sages,18.46,11
Amid the Chaos,36.58,11
Amatus,50.54,11
Agnostic: A Spirited Manifesto,12.51,11
Zealot: The Life and Times of Jesus of Nazareth,24.7,11
You (You #1),43.61,11
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,11
Wild Swans,14.36,11
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,11
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,12
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,12
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,12
Walt Disney's Alice in Wonderland,12.96,12
V for Vendetta (V for Vendetta Complete),37.1,12
Until Friday Night (The Field Party #1),46.31,12
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,12
Twenty Yawns,22.08,12
Through the Woods,25.38,12
This Is Where It Ends,27.12,12
The Year of Magical Thinking,43.04,12
The Wright Brothers,56.8,12
The White Queen (The Cousins' War #1),25.91,12
The Wedding Pact (The O'Malleys #2),32.61,12
The Time Keeper,27.88,12
The Testament of Mary,52.67,12
The Star-Touched Queen,46.02,12
The Songs of the Gods,44.48,12
The Song of Achilles,37.4,12
The Rosie Project (Don Tillman #1),54.04,12
The Power of Habit: Why We Do What We Do in Life and Business,16.88,13
The Marriage of Opposites,28.08,13
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,13
The Long Haul (Diary of a Wimpy Kid #9),44.07,13
The Loney,23.4,13
The Literature Book (Big Ideas Simply Explained),17.43,13
The Last Mile (Amos Decker #2),54.21,13
The Immortal Life of Henrietta Lacks,40.67,13
The Hidden Oracle (The Trials of Apollo #1),52.26,13
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,13
The Guilty (Will Robie #4),13.82,13
The First Hostage (J.B. Collins #2),25.85,13
The Dovekeepers,48.78,13
The Darkest Lie,35.35,13
The Bane Chronicles (The Bane Chronicles #1-11),44.73,13
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,13
The 14th Colony (Cotton Malone #11),39.24,13
That Darkness (Gardiner and Renner #1),13.92,13
Tastes Like Fear (DI Marnie Rome #3),10.69,13
Take Me with You,45.21,13
Swell: A Year of Waves,45.58,14
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,14
Still Life with Bread Crumbs,26.41,14
Steve Jobs,39.5,14
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,14
Someone Like You (The Harrisons #2),52.79,14
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,14
Shtum,55.84,14
See America: A Celebration of Our National Parks & Treasured Sites,48.87,14
salt.,46.78,14
Robin War,47.82,14
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,14
Rain Fish,23.57,14
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,14
Pet Sematary,10.56,14
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,14
Once Was a Time,18.28,14
Old School (Diary of a Wimpy Kid #10),11.83,14
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,14
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,14
My Name Is Lucy Barton,41.56,15
My Mrs. Brown,24.48,15
My Kind of Crazy,40.36,15
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,15
More Than Music (Chasing the Dream #1),37.61,15
Made to Stick: Why Some Ideas Survive and Others Die,38.85,15
Luis Paints the World,53.95,15
Luckiest Girl Alive,49.83,15
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,15
Love Is a Mix Tape (Music #1),18.03,15
Looking for Lovely: Collecting the Moments that Matter,29.14,15
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,15
Let It Out: A Journey Through Journaling,26.79,15
Lady Midnight (The Dark Artifices #1),16.28,15
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,15
Island of Dragons (Unwanteds #7),29.65,15
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,15
I Am Pilgrim (Pilgrim #1),10.6,15
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,15
"Hush, Hush (Hush, Hush #1)",47.02,15
Hold Your Breath (Search and Rescue #1),28.82,16
Hamilton: The Revolution,58.79,16
Greek Mythic History,10.23,16
God: The Most Unpleasant Character in All Fiction,30.03,16
Glory over Everything: Beyond The Kitchen House,45.84,16
Feathers: Displays of Brilliant Plumage,49.05,16
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,16
Every Last Word,46.47,16
Eligible (The Austen Project #4),27.09,16
El Deafo,57.62,16
Eight Hundred Grapes,14.39,16
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,16
"Eat Fat, Get Thin",54.07,16
Don't Get Caught,55.35,16
Doctor Sleep (The Shining #2),40.12,16
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,16
Dear Mr. Knightley,11.21,16
Daily Fantasy Sports,36.58,16
Crazy Love: Overwhelmed by a Relentless God,47.72,16
Cometh the Hour (The Clifton Chronicles #6),25.01,16
Code Name Verity (Code Name Verity #1),22.13,17
Clockwork Angel (The Infernal Devices #1),44.14,17
City of Glass (The Mortal Instruments #3),56.02,17
City of Fallen Angels (The Mortal Instruments #4),11.23,17
City of Bones (The Mortal Instruments #1),43.28,17
City of Ashes (The Mortal Instruments #2),47.27,17
Cell,20.29,17
Catching Jordan (Hundred Oaks),50.83,17
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,17
Carrie,46.23,17
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,17
Brain on Fire: My Month of Madness,49.32,17
Batman: Europa,32.01,17
Barefoot Contessa Back to Basics,28.01,17
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,17
Balloon Animals,17.03,17
Art Ops Vol. 1,48.8,17
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,17
Angels Walking (Angels Walking #1),34.2,17
Angels & Demons (Robert Langdon #1),51.48,17
All the Light We Cannot See,29.87,18
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,18
Abstract City,56.37,18
A Time of Torment (Charlie Parker #14),48.35,18
A Study in Scarlet (Sherlock Holmes #1),16.73,18
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,18
A People's History of the United States,40.79,18
A Man Called Ove,39.72,18
A Distant Mirror: The Calamitous 14th Century,14.58,18
A Brush of Wings (Angels Walking #3),55.51,18
1491: New Revelations of the Americas Before Columbus,21.8,18
"The Three Searches, Meaning, and the Story",13.33,18
Searching for Meaning in Gailana,38.73,18
Rook,37.86,18
My Kitchen Year: 136 Recipes That Saved My Life,11.53,18
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,18
Will You Won't You Want Me?,13.86,18
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,18
The Star-Touched Queen,32.3,18
The Silent Sister (Riley MacPherson #1),46.29,18
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,19
The Lonely City: Adventures in the Art of Being Alone,33.26,19
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,19
The Golden Condom: And Other Essays on Love Lost and Found,39.43,19
The Epidemic (The Program 0.6),14.44,19
The Dinner Party,56.54,19
The Diary of a Young Girl,59.9,19
The Children,11.88,19
Stars Above (The Lunar Chronicles #4.5),48.05,19
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,19
Raspberry Pi Electronics Projects for the Evil Genius,49.67,19
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,19
Psycho: Sanitarium (Psycho #1.5),36.97,19
Poisonous (Max Revere Novels #3),26.8,19
One with You (Crossfire #5),15.71,19
No Love Allowed (Dodge Cove #1),54.65,19
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,19
Most Wanted,35.28,19
"Love, Lies and Spies",20.55,19
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,19
Hide Away (Eve Duncan #20),11.84,20
Furiously Happy: A Funny Book About Horrible Things,41.46,20
Everyday Italian: 125 Simple and Delicious Recipes,20.1,20
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,20
Eleanor & Park,56.51,20
Dirty (Dive Bar #1),40.83,20
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,20
Boar Island (Anna Pigeon #19),59.48,20
A Paris Apartment,39.01,20
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,20
Troublemaker: Surviving Hollywood and Scientology,48.39,20
The Widow,27.26,20
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,20
The Improbability of Love,59.45,20
The Art of Startup Fundraising,21.0,20
Take Me Home Tonight (Rock Star Romance #3),53.98,20
Sleeping Giants (Themis Files #1),48.74,20
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,20
Playing with Fire,13.71,20
Off the Hook (Fishing for Trouble #1),47.67,20
Mothering Sunday,13.34,21
"Mother, Can You Not?",16.89,21
M Train,27.18,21
Lilac Girls,17.28,21
Lies and Other Acts of Love,45.14,21
Lab Girl,40.85,21
Keep Me Posted,20.46,21
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,21
Grey (Fifty Shades #4),48.49,21
"Exit, Pursued by a Bear",51.34,21
Daredevils,16.34,21
Cravings: Recipes for What You Want to Eat,20.5,21
Born for This: How to Find the Work You Were Meant to Do,21.59,21
Arena,21.36,21
Adultery,20.88,21
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,21
A Gentleman's Position (Society of Gentlemen #3),14.75,21
11/22/63,48.48,21
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,21
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,21
Without Shame,48.27,22
Watchmen,58.05,22
Unlimited Intuition Now,58.87,22
Underlying Notes,11.82,22
The Shack,28.03,22
The New Brand You: Your New Image Makes the Sale for You,44.05,22
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,22
The Flowers Lied,16.68,22
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,22
The Book of Mormon,24.57,22
The Art and Science of Low Carbohydrate Living,52.98,22
The Alien Club,54.4,22
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,22
Nap-a-Roo,25.08,22
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,22
Modern Day Fables,47.44,22
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,22
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,22
Dress Your Family in Corduroy and Denim,43.68,22
Don't Forget Steven,33.23,22
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,23
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,23
A Shard of Ice (The Black Symphony Saga #1),56.63,23
A Hero's Curse (The Unseen Chronicles #1),50.49,23
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,23
"Zero to One: Notes on Startups, or How to Build the Future",34.06,23
Why Not Me?,17.76,23
When Breath Becomes Air,39.36,23
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,23
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,23
The New Drawing on the Right Side of the Brain,43.02,23
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,23
The Martian (The Martian #1),41.39,23
The High Mountains of Portugal,51.15,23
The Grownup,35.88,23
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,23
South of Sunshine,28.93,23
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,23
Silence in the Dark (Logan Point #4),58.33,23
Shadows of the Past (Logan Point #1),39.67,23
Roller Girl,14.1,24
Rising Strong,21.82,24
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,24
Please Kill Me: The Uncensored Oral History of Punk,31.19,24
Out of Print: City Lights Spotlight No. 14,53.64,24
My Life Next Door (My Life Next Door ),36.39,24
Miller's Valley,58.54,24
Man's Search for Meaning,29.48,24
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,24
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,24
Les Fleurs du Mal,29.04,24
Left Behind (Left Behind #1),40.72,24
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,24
Kierkegaard: A Christian Missionary to Christians,47.13,24
John Vassos: Industrial Design for Modern Life,20.22,24
I'll Give You the Sun,56.48,24
I Will Find You,44.21,24
Hystopia: A Novel,21.96,24
Howl and Other Poems,40.45,24
History of Beauty,10.29,24
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,25
Future Shock (Future Shock #1),55.65,25
Ender's Game (The Ender Quintet #1),43.64,25
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,25
Death by Leisure: A Cautionary Tale,37.51,25
Brilliant Beacons: A History of the American Lighthouse,11.45,25
Brazen: The Courage to Find the You That's Been Hiding,19.22,25
Between the World and Me,56.91,25
Being Mortal: Medicine and What Matters in the End,55.06,25
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,25
32 Yolks,53.63,25
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,25
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,25
Wildlife of New York: A Five-Borough Coloring Book,22.14,25
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,25
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,25
Under the Tuscan Sun,37.33,25
Toddlers Are A**holes: It's Not Your Fault,25.55,25
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,25
The Whale,35.96,25
The Story of Art,41.14,26
The Origin of Species,10.01,26
The Great Gatsby,36.05,26
The Good Girl,49.03,26
The Glass Castle,16.24,26
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,26
The Drowning Girls,35.67,26
The Constant Princess (The Tudor Court #1),16.62,26
The Bourne Identity (Jason Bourne #1),42.78,26
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,26
The Art Book,32.34,26
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,26
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,26
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,26
"Sit, Stay, Love",20.9,26
Sister Dear,40.2,26
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,26
"Rich Dad, Poor Dad",51.74,26
Raymie Nightingale,34.41,26
Playing from the Heart,32.38,26
Nightstruck: A Novel,50.35,27
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,27
Meternity,43.58,27
Memoirs of a Geisha,49.67,27
Like Never Before (Walker Family #2),28.77,27
Life of Pi,13.22,27
Leave This Song Behind: Teen Poetry at Its Best,51.17,27
King's Folly (The Kinsman Chronicles #1),39.61,27
John Adams,57.43,27
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,27
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,27
Good in Bed (Cannie Shapiro #1),37.05,27
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,27
